,given_name,surname,sex,postcode,phone_number,national_insurance_number,bank_account_number,blood_group,age_grouped,area,weight,SNP3,SNP5,SNP2,n_countries_visited,avg_n_cigret_per_week,height,IP_Address,Diet,SNP4,current_country,SNP1,avg_n_drinks_per_week,Ethnicity,birthdate,education_level,Chip_ID
248,Albert,Russell,1,PH2 1E0,+447700 900738,ZZ 813272 T,127103660,O+,"(55, 60]",Perth,67,0.150262805,0.93750939,0.226310964,46,61.8,1.48,358725,moderate,0.744438882,United Kingdom,0.45315466,2.8,White and Asian,14/03/1959,secondary,1
249,Karl,Lowe,0,NW11 3VS,4.48E+11,ZZ465641T,39330084,A+,"(50, 55]",Hammersmith and Fulham,35.4,0.285865374,0.253457318,0.340008941,35,483.5,1.57,735531,moderate,0.118706343,United Kingdom,0.51740306,7.8,Caribbean,08/05/1966,secondary,3
250,Christine,Brown,0,S3 D46,+447700 900877,ZZ 666404 T,101580461,O+,"(45, 50]",Sheffield,76.4,0.379116618,0.720307011,0.558122057,35,100.5,1.45,609294,poor,0.185887839,United Kingdom,0.430346834,9.1,Other Mixed Background,10/03/1970,masters,4
251,Clifford,Green,0,CF11 LCX,+44(0)7700 900364,ZZ345654T,57879569,O-,"(45, 50]",Cardiff,70.3,0.634565746,0.981786504,0.106971802,48,386.7,1.83,695906,moderate,0.311670384,United Kingdom,0.006052204,1.3,White and Asian,24/05/1970,secondary,2
252,Claire,Sanders,0,SW1 VXG,(07700) 900 756,ZZ 97 68 54 T,55385246,A+,"(45, 50]",Richmond upon Thames,56.7,0.07274312,0.161257801,0.256573662,24,139.8,1.74,881820,good,0.766515925,United Kingdom,0.105708274,1.8,Indian,07/10/1971,bachelor,4
253,Valerie,Chadwick,0,N9 V3Y,+44(0)7700 900 144,ZZ 855228 T,67642595,O+,"(50, 55]",Haringey,95.1,0.674659042,0.953189071,0.409810763,33,259.2,1.69,810423,poor,0.956582571,United Kingdom,0.308117722,8,Other Black Background,01/12/1988,secondary,2
254,Marie,Harris,1,L3 ILK,4.48E+11,ZZ 29 36 27 T,16239810,A+,"(50, 55]",Liverpool,38.4,0.544687515,0.562471894,0.24493387,25,172.4,1.95,453151,moderate,0.641088833,United Kingdom,0.850675742,0.2,Bangladeshi,03/11/1969,bachelor,3
255,Mandy,Bailey,1,BN2 VBI,+44(0)7700 900910,ZZ 54 22 56 T,124577626,A+,"(55, 60]",Brighton,56.2,0.136533402,0.815804321,0.50202891,22,402.9,1.89,871102,good,0.988316934,United Kingdom,0.31388475,6.8,Caribbean,26/01/2002,bachelor,3
256,Lindsey,Dawson,1,LS2 MPR,07700 900 234,ZZ 33 29 09 T,104184356,A+,"(45, 50]",Leeds,93.3,0.678512287,0.613989368,0.755271965,29,310.4,1.65,219948,moderate,0.248492205,United Kingdom,0.725749146,5,Irish,25/10/1969,masters,2
257,Shannon,Stephenson,0,B2 S84,7700900785,ZZ495815T,28808611,A+,"(45, 50]",Birmingham,51,0.388177297,0.190988545,0.108756252,7,122,1.83,685174,good,0.355016348,United Kingdom,0.191395019,4.8,Chinese,17/08/1978,bachelor,2
258,Judith,Connor,1,NG1 17U,(07700) 900942,ZZ451683T,112791171,O+,"(50, 55]",Nottingham,69.7,0.077070421,0.078612694,0.656876357,26,439.7,1.65,344087,moderate,0.330155934,United Kingdom,0.069659741,5,Indian,31/07/1978,secondary,3
259,Lawrence,Pearce,1,BS1 Q9T,+447700 900 941,ZZ 63 57 45 T,37242093,A+,"(50, 55]",Bristol,47.4,0.817164899,0.152837903,0.516827759,45,49.1,1.99,680558,poor,0.826512743,United Kingdom,0.164947305,7.3,Other Mixed Background,11/11/1992,secondary,5
260,Jade,Clarke,1,TW9 3MT,+447700 900522,ZZ 189163 T,58967690,O+,"(50, 55]",Brent,75.7,0.000771152,0.901320585,0.812415065,23,71,1.77,468208,poor,0.039664484,United Kingdom,0.523093454,9.4,Bangladeshi,25/05/1980,secondary,3
261,Brenda,Payne,1,SO15 F1G,+44(0)7700 900806,ZZ 26 55 08 T,73472649,A+,"(50, 55]",Southampton,49.7,0.369688221,0.508241141,0.332041979,49,162.1,1.69,859759,moderate,0.089105503,United Kingdom,0.769811585,8.8,Chinese,05/06/1988,other,2
262,Charles,Buckley,1,M3 AVY,7700900456,ZZ 64 86 29 T,74513756,A+,"(50, 55]",Manchester,54,0.053804037,0.07251284,0.661754484,50,239.3,1.87,318563,good,0.850995779,United Kingdom,0.7798742,3.8,Irish,26/01/1994,bachelor,3
263,Sandra,Osborne,1,LS2 2KE,7700900124,ZZ 39 34 06 T,100631751,O+,"(50, 55]",Leeds,52.1,0.234150794,0.207144933,0.530966025,20,443.9,1.62,213372,moderate,0.832540773,United Kingdom,0.866522134,3.6,Caribbean,10/02/1983,secondary,1
264,Benjamin,Marsh,1,N9 PT3,4.48E+11,ZZ 83 45 35 T,71328892,B+,"(55, 60]",Haringey,68.6,0.329500191,0.354531273,0.241229183,9,59.1,1.87,408223,moderate,0.732997287,United Kingdom,0.560505207,4.6,British,05/06/1965,secondary,3
265,Joanne,Turner,0,G2 210,+447700 900269,ZZ100555T,13973991,A+,"(45, 50]",Glasgow,96.6,0.801165731,0.95660444,0.991105472,16,407.8,1.56,610237,poor,0.78372408,United Kingdom,0.017195568,8.1,Irish,05/05/1960,masters,5
266,Harriet,Taylor,1,E8 RAK,07700 900 302,ZZ146318T,85474460,O+,"(50, 55]",Hackney,47.2,0.320180491,0.495496078,0.883328882,4,443.3,1.66,702359,moderate,0.256363677,United Kingdom,0.255680323,5.3,White and Black African,17/02/1980,masters,2
267,Ben,Lloyd,1,LS2 I54,4.48E+11,ZZ 69 88 01 T,57643229,B-,"(55, 60]",Leeds,97.5,0.51058869,0.780202375,0.861329528,39,26.8,1.41,246544,good,0.224486964,United Kingdom,0.202465776,2,Other Asian Background,31/05/1967,bachelor,4
268,Holly,Bradley,1,PO3 6I9,+44(0)7700 900328,ZZ 45 55 06 T,115247088,A+,"(50, 55]",Portsmouth,61.5,0.696075971,0.326672601,0.986489404,15,107.6,1.43,606487,poor,0.959217562,United Kingdom,0.69973706,1.9,White and Asian,16/12/1977,secondary,5
269,Rebecca,Smith,0,SE7 WX4,+44(0)7700 900170,ZZ 47 74 65 T,108211267,A+,"(45, 50]",Greenwich,93.1,0.80777161,0.194581023,0.819453946,41,231.4,1.51,337343,moderate,0.756797605,United Kingdom,0.608455278,0.6,Bangladeshi,29/03/2001,primary,1
270,Heather,Webb,1,SE3 B5H,4.48E+11,ZZ 853735 T,86070863,O+,"(45, 50]",Lambeth,95.7,0.015191247,0.589968153,0.559076382,7,148.1,1.86,711671,good,0.857743615,United Kingdom,0.19197032,9.1,White and Asian,27/11/1959,secondary,5
271,Damien,Patel,1,BT28 XB3,+447700 900 972,ZZ 34 03 70 T,18735493,A-,"(55, 60]",Lisburn,66.5,0.924588114,0.404780443,0.31627718,29,377,1.81,208994,poor,0.512200311,United Kingdom,0.014966038,1.5,White and Asian,05/09/1965,bachelor,1
272,Peter,Murphy,1,W8 EQ3,(07700)900375,ZZ947958T,91182940,A+,"(50, 55]",Greenwich,74,0.808308823,0.780558079,0.126715392,44,288.3,1.63,522270,moderate,0.864530785,United Kingdom,0.206545826,3.1,Other Mixed Background,17/01/1989,secondary,2
273,Alison,Begum,0,N8 5BU,+44(0)7700900884,ZZ 204955 T,31514015,A+,"(45, 50]",Haringey,83.7,0.015015155,0.210663257,0.246627222,32,476.1,1.65,365421,poor,0.591970115,United Kingdom,0.017106049,0.3,White and Asian,01/05/1983,phD,1
274,Kate,Cox,1,BT48 D2Q,+44(0)7700 900 905,ZZ 854323 T,85674435,A+,"(45, 50]",Derry/Londonderry,98.6,0.363796227,0.485516097,0.948456143,3,483.4,1.81,851693,moderate,0.36375663,United Kingdom,0.621966668,4.6,Other White Background,18/08/1978,secondary,4
275,Leon,Evans,0,E8 R6E,07700 900312,ZZ758305T,94689149,A+,"(45, 50]",Hackney,41.4,0.378187969,0.689686049,0.962370762,40,279.5,1.64,351311,good,0.246113001,United Kingdom,0.307349808,0.2,Bangladeshi,08/03/1961,secondary,1
276,Lesley,Nicholson,0,NP11 NQ3,7700900784,ZZ 29 95 80 T,48687090,O+,"(45, 50]",Newport,83.2,0.493777307,0.343160451,0.65639749,40,347.3,1.94,348600,moderate,0.267503803,United Kingdom,0.921137468,6,British,02/05/1983,primary,3
277,Jamie,Price,1,PA3 ZC0,07700 900915,ZZ 35 13 85 T,43444869,O+,"(50, 55]",Paisley,65.7,0.656045414,0.080643253,0.78248835,13,331.1,1.82,271667,poor,0.080407889,United Kingdom,0.456148243,1.9,Indian,04/09/1972,phD,5
278,Bradley,Lewis,1,SE13 5MO,(07700) 900353,ZZ 54 72 66 T,86390491,O+,"(50, 55]",Wandsworth,97.1,0.159065861,0.025569324,0.687465752,37,129,1.56,397649,good,0.824943805,United Kingdom,0.335119495,3.1,White and Black Caribbean,29/02/1980,masters,5
279,Geraldine,Wood,1,L1 L69,+44(0)7700 900 198,ZZ 376996 T,53980669,A-,"(45, 50]",Liverpool,91,0.960041477,0.265724613,0.006458139,16,250.3,1.97,386003,poor,0.679686011,United Kingdom,0.819784698,6.5,Pakistanti,26/05/1990,secondary,1
280,Leah,Thomson,1,PH3 BV4,+447700 900213,ZZ132713T,115480201,O+,"(50, 55]",Perth,93.6,0.339920843,0.128587999,0.474961497,29,469.5,1.92,695381,good,0.656184982,United Kingdom,0.848392511,3.7,Chinese,20/02/1979,secondary,3
281,Mary,Newman,0,BN2 MZF,07700 900 573,ZZ 00 83 03 T,84739355,O+,"(45, 50]",Brighton,74.3,0.744667277,0.708967334,0.745320018,24,496.7,1.8,744986,good,0.977585465,United Kingdom,0.86477706,8.7,Irish,25/05/1979,masters,1
282,Jayne,Harrison,1,LS2 8HT,(07700)900596,ZZ793814T,62820464,A+,"(40, 45]",Leeds,79.4,0.194254761,0.3256749,0.630557018,44,169.2,1.71,797889,moderate,0.167103975,United Kingdom,0.77338713,9.7,White and Black African,30/09/1967,bachelor,4
283,Hugh,Newman,1,SE14 PEG,+447700 900 633,ZZ548379T,49091465,O+,"(45, 50]",Wandsworth,88.2,0.3600671,0.860756339,0.462899267,38,426.7,1.61,742760,moderate,0.036014905,United Kingdom,0.399062262,8.8,Other Mixed Background,24/09/1987,secondary,5
284,Christopher,Doherty,1,S1 BFS,(07700) 900411,ZZ 563722 T,68141273,A-,"(45, 50]",Sheffield,65.6,0.848868922,0.323975718,0.399507322,26,123.7,1.41,729141,good,0.342739086,United Kingdom,0.00588989,8.6,Other White Background,28/09/1960,secondary,2
285,Anthony,Garner,1,SE11 YBK,+44(0)7700900216,ZZ 82 19 62 T,35456344,O+,"(50, 55]",Lewisham,62.4,0.450646071,0.770414072,0.609348999,9,488.1,1.56,744829,moderate,0.350976039,United Kingdom,0.255472947,4.5,Caribbean,20/12/1962,other,5
286,Marion,Jenkins,1,TW9 OKC,+44(0)7700900394,ZZ 84 40 48 T,122452002,O+,"(40, 45]",Brent,68,0.140963741,0.683188644,0.083382426,37,212.3,1.5,452332,poor,0.592652054,United Kingdom,0.611909444,7.4,Indian,13/10/1964,masters,5
287,Shane,Mellor,0,TW9 E1X,(07700) 900628,ZZ 57 74 81 T,22110619,O+,"(50, 55]",Brent,87.1,0.73819863,0.217267907,0.261639135,27,205.5,1.59,649935,good,0.899534365,United Kingdom,0.41957723,4,White and Black African,08/09/1962,secondary,3
288,Oliver,Jackson,1,IV2 A7N,4.48E+11,ZZ066649T,76761881,A+,"(45, 50]",Inverness,39,0.06579193,0.061585865,0.756728622,9,391.9,1.67,114707,poor,0.5980141,United Kingdom,0.964676662,1.5,Bangladeshi,30/10/2003,bachelor,3
289,Hugh,Allen,1,SW3 Q1N,(07700) 900535,ZZ 398560 T,40983608,O+,"(55, 60]",Kensington and Chelsea,85.3,0.007526986,0.030869916,0.962595373,24,431.1,1.46,640866,poor,0.072426863,United Kingdom,0.217220848,7.2,White and Black African,22/12/1972,secondary,3
290,Rachael,Archer,1,LL57 GX2,7700900738,ZZ 48 48 70 T,99840763,O+,"(40, 45]",Bangor,71.3,0.079765578,0.561574535,0.829624364,44,46.3,1.6,330633,moderate,0.835693649,United Kingdom,0.124906458,4.6,Other Black Background,13/10/1956,secondary,5
291,Norman,Palmer,1,WC1 14O,+44(0)7700900517,ZZ 44 10 19 T,73737863,O+,"(45, 50]",Camden,74.7,0.220607284,0.966216746,0.957607896,26,457.2,2,253947,poor,0.633894328,United Kingdom,0.906537495,6.2,White and Asian,29/10/1992,masters,4
292,Owen,Hayward,0,NW10 0DY,(07700) 900 399,ZZ 152449 T,78161515,O+,"(45, 50]",Hammersmith and Fulham,90,0.032963585,0.409788557,0.240408113,28,330.4,1.43,406609,good,0.697026621,United Kingdom,0.746115097,4.5,Other Asian Background,23/06/1995,masters,1
293,Graeme,Wilson,1,PO3 HUV,+44(0)7700900758,ZZ 28 99 07 T,37732930,A+,"(45, 50]",Portsmouth,40,0.874448825,0.959608621,0.379881884,17,194.9,1.81,401184,good,0.117868337,United Kingdom,0.867469367,8,Other Mixed Background,17/08/1963,bachelor,2
294,Philip,Morris,1,E3 O2V,+447700 900 092,ZZ 41 30 97 T,76734151,A+,"(45, 50]",Tower Hamlets,83,0.640214924,0.986215281,0.569253275,50,34.4,1.56,440945,poor,0.979605747,United Kingdom,0.310535045,6.6,African,06/07/1989,primary,1
295,Nigel,Cooper,1,PH3 5SM,4.48E+11,ZZ 452993 T,53135197,O+,"(50, 55]",Perth,48.5,0.660873777,0.247332733,0.470487892,31,278.8,1.96,579527,good,0.009869348,United Kingdom,0.094677502,5,White and Black Caribbean,17/01/1994,secondary,1
296,Nicole,Rogers,0,IV1 5R0,07700 900 882,ZZ996225T,71321022,O+,"(50, 55]",Inverness,77.7,0.413609282,0.426822134,0.97642031,23,254.1,1.62,551620,poor,0.129503932,United Kingdom,0.22234534,4.2,Irish,18/06/1977,masters,3
297,Alison,Thomas,1,L3 0LC,07700 900283,ZZ 26 21 65 T,93701138,O+,"(55, 60]",Liverpool,88.7,0.24326701,0.366807747,0.376224301,48,346.8,1.97,610258,moderate,0.547438469,United Kingdom,0.116592252,5.8,Bangladeshi,08/11/1994,bachelor,3
298,Carl,Lloyd,0,SW3 TE7,07700 900877,ZZ 256213 T,96256075,A+,"(45, 50]",Kensington and Chelsea,94.7,0.844035708,0.002841406,0.351607329,23,372.9,1.88,717120,good,0.127176916,United Kingdom,0.42494205,5.7,White and Black Caribbean,05/06/1984,secondary,4
299,Gerard,Elliott,1,NE3 8ZR,07700 900123,ZZ 47 08 52 T,38733608,A+,"(45, 50]",Newcastle upon Tyne,83.9,0.322343546,0.296577602,0.649833955,6,304.6,1.4,280726,good,0.872793943,United Kingdom,0.007274416,3.4,Other Black Background,31/03/1991,masters,5
300,Zoe,Price,0,OX1 MFJ,+447700 900 487,ZZ491054T,126837335,O+,"(50, 55]",Oxford,83,0.67370001,0.063174324,0.054894639,31,68.1,1.75,711085,poor,0.92644191,United Kingdom,0.375616816,5,Indian,01/04/1963,bachelor,2
301,Holly,Armstrong,1,WC1 TZE,+447700 900 755,ZZ729115T,84057367,A+,"(40, 45]",Camden,96,0.195372843,0.43162696,0.550402594,31,122.5,1.48,765477,poor,0.75831974,United Kingdom,0.102028048,1.5,Other Asian Background,18/09/1983,bachelor,2
302,Jacob,Bird,1,NW2 02U,4.48E+11,ZZ 221166 T,107284570,A+,"(55, 60]",Brent,66.3,0.423862187,0.393819397,0.111021455,28,379.2,1.67,647606,poor,0.389720068,United Kingdom,0.015245471,4.7,Other Ethnic Group,18/05/1983,secondary,2
303,Elizabeth,Bray,1,SW6 4EI,+44(0)7700 900936,ZZ 805140 T,100477300,O+,"(50, 55]",Hammersmith and Fulham,65.2,0.444504031,0.281703452,0.403844096,24,39.5,1.77,120560,moderate,0.637305404,United Kingdom,0.64450641,7.6,Bangladeshi,31/12/1961,other,4
304,Alex,Armstrong,0,NW1 SJQ,+44(0)7700 900 062,ZZ 922606 T,79532583,A+,"(45, 50]",Camden,63.1,0.108677692,0.962450707,0.901782728,12,418,1.8,801752,poor,0.524973684,United Kingdom,0.218102678,3.1,Other Black Background,02/07/1992,bachelor,4
305,Wayne,Cox,0,PO3 W0S,7700900278,ZZ 117380 T,19174943,O+,"(40, 45]",Portsmouth,53.7,0.397313841,0.807668403,0.545207562,23,62.4,1.51,437864,poor,0.286071877,United Kingdom,0.51509696,3.1,Other Black Background,13/05/1997,secondary,5
306,Joshua,Foster,0,SE14 F2M,07700 900 127,ZZ 195625 T,78004096,A+,"(50, 55]",Wandsworth,40.9,0.884866081,0.439860017,0.837456546,28,75.3,1.46,763087,good,0.846021318,United Kingdom,0.860288548,4.5,Chinese,12/07/1971,bachelor,1
307,Jayne,Morris,1,BN1 RXY,+447700 900637,ZZ 24 31 56 T,34492600,O+,"(45, 50]",Brighton,57.1,0.787608635,0.989665983,0.616137034,9,111.1,1.54,337666,poor,0.771529908,United Kingdom,0.036138587,2.9,Irish,12/01/1995,phD,2
308,Gail,Lewis,0,B2 MSE,07700 900473,ZZ 81 22 57 T,82643061,A+,"(45, 50]",Birmingham,52.8,0.038007822,0.752124814,0.087840001,8,56.3,1.53,480694,poor,0.231270809,United Kingdom,0.935806521,3.3,Irish,11/01/1971,secondary,5
309,Gregory,Wood,0,W2 2C6,+447700 900 072,ZZ 25 60 30 T,40223193,O-,"(50, 55]",City of Westminster,59,0.178220211,0.100998402,0.7779438,6,324.5,1.78,645643,good,0.228505359,United Kingdom,0.011157774,1.4,Bangladeshi,13/06/1981,phD,1
310,Phillip,Foster,1,N8 VG0,+44(0)7700900992,ZZ 942340 T,34824731,A+,"(45, 50]",Haringey,91.3,0.658063988,0.093791333,0.435280479,43,11,1.46,710666,poor,0.674589556,United Kingdom,0.307609503,6.9,Other Mixed Background,28/08/1978,bachelor,5
311,Darren,Ahmed,0,PA2 8UR,07700 900 404,ZZ643195T,49852251,O-,"(50, 55]",Paisley,53.1,0.441594184,0.346974942,0.129176119,48,433.6,1.4,579977,good,0.51067999,United Kingdom,0.082080856,9.8,Pakistanti,01/12/1970,secondary,4
312,Grace,Walker,1,SW18 J1X,(07700)900446,ZZ 13 48 30 T,71983143,A+,"(50, 55]",Wandsworth,44.9,0.258412212,0.336838699,0.940966837,7,351.7,1.94,254762,good,0.165644882,United Kingdom,0.077373441,3.3,Pakistanti,17/07/1959,secondary,3
313,Marian,Walker,1,SW7 QXK,+447700 900 835,ZZ 263128 T,87736012,O-,"(45, 50]",Kensington and Chelsea,43,0.243535624,0.861989038,0.674636767,18,296.4,1.89,190923,poor,0.649251095,United Kingdom,0.805915288,2.3,Other White Background,26/05/1962,masters,4
314,Glen,Taylor,1,NW3 5VC,07700 900538,ZZ 593867 T,77326063,A+,"(45, 50]",Camden,97.7,0.207316281,0.572844657,0.851437523,8,328.8,1.86,578456,good,0.248924168,United Kingdom,0.346996218,0.2,Bangladeshi,19/11/1982,secondary,2
315,Stephanie,Dunn,0,SE3 FKH,7700900200,ZZ 14 32 87 T,27974067,O+,"(50, 55]",Lambeth,52.5,0.791356595,0.389112926,0.966575493,43,432.9,1.58,288752,poor,0.658146761,United Kingdom,0.345821607,4.6,Pakistanti,16/02/1985,bachelor,2
316,Tracey,Myers,0,NG1 S6E,+44(0)7700 900406,ZZ 04 01 82 T,47366082,A+,"(45, 50]",Nottingham,94.7,0.118524409,0.21845357,0.216284948,19,145.1,1.57,627741,moderate,0.544134715,United Kingdom,0.7211279,4,Other Ethnic Group,21/08/1969,other,3
317,Leigh,Jones,0,YO1 KBW,(07700) 900914,ZZ578574T,89506606,O+,"(40, 45]",York,64.1,0.526960394,0.235651732,0.347503363,37,465.5,1.85,488666,poor,0.000537664,United Kingdom,0.940370699,8.2,Indian,28/11/1967,secondary,4
318,Amanda,Ellis,0,M1 AMN,+44(0)7700 900607,ZZ 83 39 62 T,45970250,O+,"(50, 55]",Manchester,58.8,0.850898634,0.647701381,0.951966774,18,395.4,1.82,215708,moderate,0.153424261,United Kingdom,0.602187537,8.6,Chinese,07/12/1968,secondary,3
319,Mohammad,Williams,1,BS3 3AP,+44(0)7700900214,ZZ 306251 T,33827496,O+,"(55, 60]",Bristol,56.6,0.3337545,0.019073208,0.010922139,21,36.9,1.61,239637,moderate,0.439277993,United Kingdom,0.398252882,0.4,Other White Background,31/01/1963,bachelor,2
320,Paige,Reeves,1,W6 2YS,+447700 900 510,ZZ118215T,49453061,O+,"(45, 50]",Greenwich,94.1,0.843664391,0.802966232,0.642179662,37,484.8,1.86,332539,good,0.106832964,United Kingdom,0.540630568,7.8,Other Asian Background,10/06/1967,other,3
321,Holly,Scott,0,S2 Y19,+44(0)7700 900058,ZZ645895T,35215145,O+,"(50, 55]",Sheffield,53.5,0.692871933,0.26857318,0.755079624,20,347.5,1.98,823881,moderate,0.028051541,United Kingdom,0.6432871,6.1,Other Black Background,30/01/1973,secondary,2
322,Sarah,Davies,1,CB3 OT2,+44(0)7700 900746,ZZ 883415 T,25723760,A+,"(50, 55]",Cambridge,37.7,0.239595692,0.978176668,0.778311283,46,481.1,1.64,280294,good,0.458790348,United Kingdom,0.514890392,6.5,British,08/01/1959,secondary,3
323,Dean,Ross,1,SE7 3YL,+44(0)7700 900422,ZZ 61 67 72 T,122012167,O-,"(50, 55]",Greenwich,62.9,0.868735857,0.192346847,0.067905119,3,11.5,1.47,863752,poor,0.652963099,United Kingdom,0.281278259,7.4,Pakistanti,19/11/1957,secondary,1
324,Danny,Spencer,1,N22 OFD,(07700)900519,ZZ725323T,30907788,O+,"(55, 60]",Haringey,46,0.557107721,0.039009157,0.959187653,30,460.8,1.86,544062,good,0.421848766,United Kingdom,0.957203757,9.3,Pakistanti,20/01/1971,primary,5
325,George,Knight,1,B3 TJ7,+447700 900117,ZZ560229T,70406537,O-,"(50, 55]",Birmingham,55.7,0.652203556,0.483977362,0.974124115,16,494.9,1.49,495044,good,0.691739363,United Kingdom,0.32109132,5,Other Asian Background,28/01/1962,primary,1
326,Garry,Jones,1,OX2 FK8,07700 900 871,ZZ937602T,54846906,O+,"(45, 50]",Oxford,88.7,0.628253745,0.707020482,0.303110385,29,102.4,1.8,541538,moderate,0.317175571,United Kingdom,0.832336769,4.9,Chinese,08/04/1983,masters,3
327,Geoffrey,Smith,1,PO1 YFK,+44(0)7700900943,ZZ872419T,124930234,B+,"(45, 50]",Portsmouth,97.3,0.222288449,0.970578519,0.13219238,9,332.2,1.61,539244,good,0.528258559,United Kingdom,0.424594158,0.8,Chinese,14/02/1996,other,3
328,Terence,Norman,0,LS2 78J,+44(0)7700900586,ZZ 676244 T,104033371,B+,"(50, 55]",Leeds,37.2,0.264505612,0.588930784,0.903925619,13,437.9,1.8,517305,poor,0.599788787,United Kingdom,0.048194341,3.4,Other White Background,20/04/1962,secondary,4
329,Helen,Lee,1,CB3 1YU,4.48E+11,ZZ 68 21 40 T,111392076,O+,"(50, 55]",Cambridge,74.5,0.280702497,0.554175823,0.187473303,43,452.5,1.42,831519,moderate,0.385051342,United Kingdom,0.753847834,0.6,Indian,18/02/1995,secondary,3
330,Aimee,Jackson,1,N2 851,4.48E+11,ZZ 16 30 44 T,71545934,A-,"(50, 55]",Islington,58.7,0.990784173,0.393352652,0.039416564,24,235.7,1.56,387814,good,0.195975105,United Kingdom,0.327979096,2.8,Indian,09/10/1961,masters,5
331,Gary,Garner,0,PA2 MEH,07700 900 350,ZZ 502391 T,66142229,B+,"(40, 45]",Paisley,36.6,0.78848284,0.514822546,0.802716522,3,349.3,1.65,505798,poor,0.59020677,United Kingdom,0.385175762,2.3,Other Mixed Background,12/04/1988,secondary,1
332,Keith,Townsend,1,NW10 SOA,4.48E+11,ZZ 20 30 74 T,83260139,O+,"(50, 55]",Hammersmith and Fulham,40.4,0.94065389,0.573741357,0.372260744,28,142.5,1.69,674321,moderate,0.288372516,United Kingdom,0.862715982,8.8,Caribbean,18/07/1996,other,3
333,George,Donnelly,0,L2 DT5,(07700) 900407,ZZ 596429 T,90554249,O+,"(50, 55]",Liverpool,80.3,0.953019732,0.354570121,0.250108396,10,425.8,1.65,138551,moderate,0.816083059,United Kingdom,0.449807488,7.8,Other Mixed Background,06/11/1981,masters,4
334,Frank,Little,0,L2 IYW,(07700)900596,ZZ348282T,108887549,O+,"(50, 55]",Liverpool,48,0.843120156,0.362360291,0.680528359,17,154,1.77,466410,poor,0.958033947,United Kingdom,0.048780109,6,White and Asian,08/12/1998,secondary,2
335,Dennis,Henderson,0,N2 Z3Y,(07700) 900120,ZZ 012694 T,17139980,B-,"(40, 45]",Islington,97.6,0.817289418,0.744046201,0.134063373,32,194.6,1.77,240723,moderate,0.756048442,United Kingdom,0.873501025,9.6,Bangladeshi,16/06/2002,bachelor,5
336,Dylan,Walters,0,L1 J8H,(07700)900889,ZZ654759T,25633504,O+,"(50, 55]",Liverpool,44.6,0.083383268,0.953427073,0.294618265,5,246.5,1.45,590274,poor,0.92562226,United Kingdom,0.352930505,9,White and Asian,23/08/1983,bachelor,3
337,Sam,Martin,1,DG2 4GN,+44(0)7700 900035,ZZ 92 95 36 T,66555007,O+,"(50, 55]",Dumfries,74.1,0.554557108,0.275087574,0.771621566,18,338.6,1.52,490178,poor,0.597146466,United Kingdom,0.610571411,3,Irish,12/09/1976,bachelor,1
338,Brett,Whitehouse,1,KA4 KD1,4.48E+11,ZZ 107951 T,114112334,O+,"(45, 50]",Kilmarnock,51.9,0.418087514,0.834510484,0.715909755,14,77.9,1.74,175397,moderate,0.129360882,United Kingdom,0.273560668,4.5,Caribbean,20/03/2001,secondary,3
339,Michael,Schofield,1,LL57 NYX,(07700) 900 245,ZZ 478978 T,114430197,O+,"(45, 50]",Bangor,95.9,0.268685727,0.421201589,0.297256005,19,373.2,1.86,165166,moderate,0.946547001,United Kingdom,0.478153686,5.9,White and Asian,27/07/1961,secondary,3
340,Robert,Miller,0,N1 NRE,+44(0)7700900565,ZZ 049493 T,118583325,A+,"(40, 45]",Islington,89.5,0.543079909,0.751356427,0.123820488,38,392,1.59,658195,good,0.478099927,United Kingdom,0.536460479,6.1,Other Mixed Background,04/12/1992,secondary,2
341,Elaine,Miles,0,BN1 4DV,(07700) 900 730,ZZ156066T,65565564,A+,"(50, 55]",Brighton,70.8,0.24648779,0.430447305,0.849175334,20,191.4,1.67,508909,good,0.205082055,United Kingdom,0.635700651,8.9,Chinese,25/03/1968,primary,1
342,Arthur,Lloyd,1,SO16 1OM,07700 900 212,ZZ 65 45 98 T,23366297,A+,"(45, 50]",Southampton,86.9,0.353176876,0.497710572,0.726439596,5,171,1.52,788516,good,0.30328403,United Kingdom,0.274346891,2.5,Indian,18/03/1981,secondary,3
343,Tina,Power,0,BS1 QXF,(07700) 900132,ZZ 029071 T,115135213,B+,"(50, 55]",Bristol,67,0.38671756,0.002399768,0.894588352,15,489.1,1.91,326090,poor,0.61455418,United Kingdom,0.829900665,6.6,Other White Background,12/12/1994,masters,1
344,Danielle,Gallagher,1,OX3 HSW,4.48E+11,ZZ 73 46 19 T,68652092,A+,"(50, 55]",Oxford,61,0.142688046,0.961285486,0.413622727,35,124.2,1.45,506837,good,0.331581206,United Kingdom,0.140351667,8,Other Ethnic Group,01/02/1975,other,5
345,Claire,Hunt,1,CF11 9X8,(07700)900076,ZZ543075T,15901615,O-,"(50, 55]",Cardiff,74.7,0.092433837,0.537182892,0.500678245,44,354.8,1.98,891426,good,0.193870732,United Kingdom,0.253781793,2.7,Indian,01/09/1959,secondary,1
346,Gordon,Johnson,1,YO11 7KA,(07700)900502,ZZ692577T,45990939,O+,"(50, 55]",York,38.1,0.491455454,0.331480074,0.108726887,5,458.8,1.76,601385,good,0.379387248,United Kingdom,0.742482653,2.7,Pakistanti,10/07/1976,masters,3
